acid,country,year,quarter_of_year,month_of_year,week_of_year,freq_signup,freq_sportsapp,freq_survey,freq_raffle,freq_reviews,freq_email,freq_adiclub_email,freq_pn,freq_adiclub_pn,freq_transactions,freq_earn_points,freq_points_redemption,freq_rewards_redemption,freq_confirmed,freq_dotcom,freq_flagshipapp,freq_hype,freq_pdp,freq_plp,freq_add_to_cart,freq_preference,freq_wishlist,refresh_date,engagement_score
C9ETP2IMBULR55N9,GB,2022,4,10,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2024-03-04,2
G9267C52MPXLDI3N,GB,2022,4,11,47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,4,4,2,0,0,2024-03-04,16
4BQ7MCF62G1N467W,GB,2022,4,12,51,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,10,0,6,4,4,0,1,2024-03-04,31
CRM5FB6DJZLP6E7U,GB,2022,4,12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2024-03-04,6
WEZ8CA6DS3V8645R,GB,2022,4,10,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2024-03-04,4
G6URJL76ZTELQVAJ,GB,2022,4,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,1,0,0,2024-03-04,7
W1XK9SREGW587GWH,GB,2022,4,10,43,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2024-03-04,2
5Z56WSJA620B052T,GB,2022,4,11,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,2024-03-04,10
MBCC965CHUEAUQZI,GB,2022,4,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2024-03-04,3
YBNGL3VTQ1XYD3S8,GB,2022,4,10,40,1,0,0,0,0,3,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,2024-03-04,9
T9QX2XLUE69OA2P1,GB,2022,4,10,40,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,3,2,0,0,2,2024-03-04,15
R1NRF6QR5JCAKIXB,GB,2022,4,12,51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-04,1
LAY4JZECLMY0HNZB,GB,2022,4,12,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,1,0,0,2024-03-04,9
YC0B75XTG0GLVBLA,GB,2022,4,10,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2024-03-04,4
11DNTPY30P1H23U5,GB,2022,4,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,2024-03-04,5
MNUP1MBMB1BM1C3B,GB,2022,4,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2024-03-04,3
E062IPFHVMVA9OKJ,GB,2022,4,12,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2024-03-04,2
KHGN1YEHW3SM65LD,GB,2022,4,10,40,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2024-03-04,8
J5FP3B46J4R889F3,GB,2022,4,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,1,2024-03-04,6
S16E3P26KRMQW18P,GB,2022,4,10,43,1,0,0,0,0,4,0,0,0,1,1,0,0,0,3,0,0,3,1,1,0,0,2024-03-04,15
U0PCX8WYGT3YGOSG,GB,2022,4,10,40,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2024-03-04,2
0M568VBWOAXKQG5T,GB,2022,4,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,2024-03-04,8
V8IE3AJ7C2AJ8M09,GB,2022,4,12,50,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,2024-03-04,6
9S7AT7UW6HWFKIA6,GB,2022,4,10,40,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2024-03-04,6
NYA60ELVNGBV49JO,GB,2022,4,10,43,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,8,0,2,2,1,0,0,2024-03-04,17
3IBHZWV1IU8WATBH,GB,2022,4,10,40,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2024-03-04,5
EH4JUPWUG4NUCPS8,GB,2022,4,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2024-03-04,3
P2IXFBH2BWR3RBV2,GB,2022,4,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,2,0,0,0,2024-03-04,10
GJ4QME383CUBNQW9,GB,2022,4,11,47,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,2,1,0,1,2024-03-04,9
D8VUPYPJEVNGA2CH,GB,2022,4,11,47,0,0,0,2,0,0,0,0,0,4,4,0,0,0,8,0,0,4,4,2,0,0,2024-03-04,28
