sports_category_descr,predicted_interaction,acid
SWIM,2.3415700195665643e-09,32XO1DBEH0BN1I52
TRAINING,0.9999999621579262,33P9DVAY0480EC6F
CLIMB,0.0001943689925569336,33P9DVAY0480EC6F
SPORT STYLE,5.8709663395453355e-09,33P9DVAY0480EC6F
OUTDOOR,3.08089909819533e-09,33P9DVAY0480EC6F
SWIM,2.3415700195665643e-09,33P9DVAY0480EC6F
TRAINING,0.9999999621579262,36BFKOI3OGQPV5TC
CLIMB,0.0001943689925569336,36BFKOI3OGQPV5TC
SPORT STYLE,5.8709663395453355e-09,36BFKOI3OGQPV5TC
OUTDOOR,3.08089909819533e-09,36BFKOI3OGQPV5TC
SWIM,2.3415700195665643e-09,36BFKOI3OGQPV5TC
ORIGINALS,0.9999999963125484,3GLDULNHVCWRQBIC
HANDBALL,6.040606899536069e-05,3GLDULNHVCWRQBIC
BASKETBALL,6.279302918842444e-09,3GLDULNHVCWRQBIC
HIKING,5.698249110312082e-09,3GLDULNHVCWRQBIC
SWIM,1.3430390534149637e-09,3GLDULNHVCWRQBIC
TENNIS,0.9999999999698583,3LT5AU3UKWDAGIIU
BASKETBALL,2.258938928006359e-09,3LT5AU3UKWDAGIIU
HIKING,1.8985463132305337e-09,3LT5AU3UKWDAGIIU
SWIM,1.306798411866382e-09,3LT5AU3UKWDAGIIU
FOOTBALL/SOCCER,7.261527834768937e-10,3LT5AU3UKWDAGIIU
FOOTBALL/SOCCER,0.9999999669522595,3NAWGG86C2QV26IO
HANDBALL,0.00018173536718360926,3NAWGG86C2QV26IO
HIKING,6.433882471626821e-09,3NAWGG86C2QV26IO
CYCLING,2.8828173998641192e-09,3NAWGG86C2QV26IO
SWIM,2.8229095701321083e-09,3NAWGG86C2QV26IO
RUNNING,0.9999999687644883,3XXCG62NIU6WRKBI
OLYMPIC SPORTS,0.00017663153211532035,3XXCG62NIU6WRKBI
HIKING,5.711352629832396e-09,3XXCG62NIU6WRKBI
BASKETBALL,2.373699306008664e-09,3XXCG62NIU6WRKBI
SWIM,1.0401679041198385e-09,3XXCG62NIU6WRKBI
NOT SPORTS SPECIFIC,0.9999999768196282,3ZRHJ7FZ4PCA8FSC
HANDBALL,0.000152069803464048,3ZRHJ7FZ4PCA8FSC
HIKING,7.84522259971687e-09,3ZRHJ7FZ4PCA8FSC
SWIM,3.955567839143767e-09,3ZRHJ7FZ4PCA8FSC
BASKETBALL,3.301686901615685e-09,3ZRHJ7FZ4PCA8FSC
ORIGINALS,0.9999999963125484,42YK276T7KLJ1AHM
HANDBALL,6.040606899536069e-05,42YK276T7KLJ1AHM
BASKETBALL,6.279302918842444e-09,42YK276T7KLJ1AHM
HIKING,5.698249110312082e-09,42YK276T7KLJ1AHM
SWIM,1.3430390534149637e-09,42YK276T7KLJ1AHM
ORIGINALS,0.9999999963125484,45XBGDYQ1VD61ISJ
HANDBALL,6.040606899536069e-05,45XBGDYQ1VD61ISJ
BASKETBALL,6.279302918842444e-09,45XBGDYQ1VD61ISJ
HIKING,5.698249110312082e-09,45XBGDYQ1VD61ISJ
SWIM,1.3430390534149637e-09,45XBGDYQ1VD61ISJ
SWIM,0.999999760662496,4BEMGNVZKYVI2191
YOGA,0.0004891073447269069,4BEMGNVZKYVI2191
HIKING,7.512841406059776e-09,4BEMGNVZKYVI2191
NOT SPORTS SPECIFIC,3.955567839143767e-09,4BEMGNVZKYVI2191
BASKETBALL,2.851559774125995e-09,4BEMGNVZKYVI2191
TRAINING,0.9999999621579262,4NJEBVBEZ3C00L7T
CLIMB,0.0001943689925569336,4NJEBVBEZ3C00L7T
SPORT STYLE,5.8709663395453355e-09,4NJEBVBEZ3C00L7T
OUTDOOR,3.08089909819533e-09,4NJEBVBEZ3C00L7T
SWIM,2.3415700195665643e-09,4NJEBVBEZ3C00L7T
TENNIS,0.9999999999698583,4QI8V4ULHSQTP75L
BASKETBALL,2.258938928006359e-09,4QI8V4ULHSQTP75L
HIKING,1.8985463132305337e-09,4QI8V4ULHSQTP75L
SWIM,1.306798411866382e-09,4QI8V4ULHSQTP75L
FOOTBALL/SOCCER,7.261527834768937e-10,4QI8V4ULHSQTP75L
RUNNING,0.9999999687644883,51SOPN8E4WLDVQ69
OLYMPIC SPORTS,0.00017663153211532035,51SOPN8E4WLDVQ69
HIKING,5.711352629832396e-09,51SOPN8E4WLDVQ69
BASKETBALL,2.373699306008664e-09,51SOPN8E4WLDVQ69
SWIM,1.0401679041198385e-09,51SOPN8E4WLDVQ69
FOOTBALL/SOCCER,0.9999999669522595,528VMRD09NCUGR86
HANDBALL,0.00018173536718360926,528VMRD09NCUGR86
HIKING,6.433882471626821e-09,528VMRD09NCUGR86
CYCLING,2.8828173998641192e-09,528VMRD09NCUGR86
SWIM,2.8229095701321083e-09,528VMRD09NCUGR86
ORIGINALS,0.9999999963125484,543UEZA36EJHCGV7
HANDBALL,6.040606899536069e-05,543UEZA36EJHCGV7
BASKETBALL,6.279302918842444e-09,543UEZA36EJHCGV7
HIKING,5.698249110312082e-09,543UEZA36EJHCGV7
SWIM,1.3430390534149637e-09,543UEZA36EJHCGV7
ORIGINALS,0.9999999963125484,5DTX7N77YSTINSR3
HANDBALL,6.040606899536069e-05,5DTX7N77YSTINSR3
BASKETBALL,6.279302918842444e-09,5DTX7N77YSTINSR3
HIKING,5.698249110312082e-09,5DTX7N77YSTINSR3
SWIM,1.3430390534149637e-09,5DTX7N77YSTINSR3
RUNNING,0.9999999687644883,5ITAWU9BZQF7MTMJ
OLYMPIC SPORTS,0.00017663153211532035,5ITAWU9BZQF7MTMJ
HIKING,5.711352629832396e-09,5ITAWU9BZQF7MTMJ
BASKETBALL,2.373699306008664e-09,5ITAWU9BZQF7MTMJ
SWIM,1.0401679041198385e-09,5ITAWU9BZQF7MTMJ
ORIGINALS,0.9999999963125484,5J6OKHG7T72M7BNB
HANDBALL,6.040606899536069e-05,5J6OKHG7T72M7BNB
BASKETBALL,6.279302918842444e-09,5J6OKHG7T72M7BNB
HIKING,5.698249110312082e-09,5J6OKHG7T72M7BNB
SWIM,1.3430390534149637e-09,5J6OKHG7T72M7BNB
GOLF,0.9999999999610371,5QT8S25XM8T5K44J
HIKING,4.201672963235735e-09,5QT8S25XM8T5K44J
BASKETBALL,3.9564802612069706e-09,5QT8S25XM8T5K44J
FOOTBALL/SOCCER,7.527636986271343e-10,5QT8S25XM8T5K44J
NOT SPORTS SPECIFIC,6.185155230644498e-10,5QT8S25XM8T5K44J
ORIGINALS,0.9999999963125484,5TB8RME1ZF48WBYW
HANDBALL,6.040606899536069e-05,5TB8RME1ZF48WBYW
BASKETBALL,6.279302918842444e-09,5TB8RME1ZF48WBYW
HIKING,5.698249110312082e-09,5TB8RME1ZF48WBYW
SWIM,1.3430390534149637e-09,5TB8RME1ZF48WBYW
ORIGINALS,0.9999999963125484,5WZUP74IMR2Q6V8A
HANDBALL,6.040606899536069e-05,5WZUP74IMR2Q6V8A
BASKETBALL,6.279302918842444e-09,5WZUP74IMR2Q6V8A
HIKING,5.698249110312082e-09,5WZUP74IMR2Q6V8A
SWIM,1.3430390534149637e-09,5WZUP74IMR2Q6V8A
ORIGINALS,0.9999999963125484,620Y9X8GMWR672ZJ
HANDBALL,6.040606899536069e-05,620Y9X8GMWR672ZJ
BASKETBALL,6.279302918842444e-09,620Y9X8GMWR672ZJ
HIKING,5.698249110312082e-09,620Y9X8GMWR672ZJ
SWIM,1.3430390534149637e-09,620Y9X8GMWR672ZJ
FOOTBALL/SOCCER,0.9999999669522595,6FXCNKYILCH9QPXE
HANDBALL,0.00018173536718360926,6FXCNKYILCH9QPXE
HIKING,6.433882471626821e-09,6FXCNKYILCH9QPXE
CYCLING,2.8828173998641192e-09,6FXCNKYILCH9QPXE
SWIM,2.8229095701321083e-09,6FXCNKYILCH9QPXE
NOT SPORTS SPECIFIC,0.9999999768196282,6HMX6X9NA9CM2I4Z
HANDBALL,0.000152069803464048,6HMX6X9NA9CM2I4Z
HIKING,7.84522259971687e-09,6HMX6X9NA9CM2I4Z
SWIM,3.955567839143767e-09,6HMX6X9NA9CM2I4Z
BASKETBALL,3.301686901615685e-09,6HMX6X9NA9CM2I4Z
NOT SPORTS SPECIFIC,0.9999999768196282,6XI7P3Z0WOKOF1KE
HANDBALL,0.000152069803464048,6XI7P3Z0WOKOF1KE
HIKING,7.84522259971687e-09,6XI7P3Z0WOKOF1KE
SWIM,3.955567839143767e-09,6XI7P3Z0WOKOF1KE
BASKETBALL,3.301686901615685e-09,6XI7P3Z0WOKOF1KE
ORIGINALS,0.9999999963125484,713DGI0WPPBLDD3N
HANDBALL,6.040606899536069e-05,713DGI0WPPBLDD3N
BASKETBALL,6.279302918842444e-09,713DGI0WPPBLDD3N
HIKING,5.698249110312082e-09,713DGI0WPPBLDD3N
SWIM,1.3430390534149637e-09,713DGI0WPPBLDD3N
ORIGINALS,0.9999999963125484,75A0C2IAOF6H9N9Y
HANDBALL,6.040606899536069e-05,75A0C2IAOF6H9N9Y
BASKETBALL,6.279302918842444e-09,75A0C2IAOF6H9N9Y
HIKING,5.698249110312082e-09,75A0C2IAOF6H9N9Y
SWIM,1.3430390534149637e-09,75A0C2IAOF6H9N9Y
TRAINING,0.9999999621579262,76Z859TSZEE0ODDG
CLIMB,0.0001943689925569336,76Z859TSZEE0ODDG
SPORT STYLE,5.8709663395453355e-09,76Z859TSZEE0ODDG
OUTDOOR,3.08089909819533e-09,76Z859TSZEE0ODDG
SWIM,2.3415700195665643e-09,76Z859TSZEE0ODDG
FOOTBALL/SOCCER,0.9999999669522595,778TPKRJ64XAX6EO
HANDBALL,0.00018173536718360926,778TPKRJ64XAX6EO
HIKING,6.433882471626821e-09,778TPKRJ64XAX6EO
CYCLING,2.8828173998641192e-09,778TPKRJ64XAX6EO
SWIM,2.8229095701321083e-09,778TPKRJ64XAX6EO
ORIGINALS,0.9999999963125484,77ONFUHZT7SNUSUK
HANDBALL,6.040606899536069e-05,77ONFUHZT7SNUSUK
BASKETBALL,6.279302918842444e-09,77ONFUHZT7SNUSUK
HIKING,5.698249110312082e-09,77ONFUHZT7SNUSUK
SWIM,1.3430390534149637e-09,77ONFUHZT7SNUSUK
ORIGINALS,0.9999999963125484,793I0NJIEL9VD0PV
HANDBALL,6.040606899536069e-05,793I0NJIEL9VD0PV
BASKETBALL,6.279302918842444e-09,793I0NJIEL9VD0PV
HIKING,5.698249110312082e-09,793I0NJIEL9VD0PV
SWIM,1.3430390534149637e-09,793I0NJIEL9VD0PV
TRAINING,0.9999999621579262,7C40EEWL8EUHFCU8
CLIMB,0.0001943689925569336,7C40EEWL8EUHFCU8
SPORT STYLE,5.8709663395453355e-09,7C40EEWL8EUHFCU8
OUTDOOR,3.08089909819533e-09,7C40EEWL8EUHFCU8
SWIM,2.3415700195665643e-09,7C40EEWL8EUHFCU8
ORIGINALS,0.9999999963125484,7D1ADUSQIUHJSSOW
HANDBALL,6.040606899536069e-05,7D1ADUSQIUHJSSOW
BASKETBALL,6.279302918842444e-09,7D1ADUSQIUHJSSOW
HIKING,5.698249110312082e-09,7D1ADUSQIUHJSSOW
SWIM,1.3430390534149637e-09,7D1ADUSQIUHJSSOW
ORIGINALS,0.9999999963125484,7ERCZ5SWGN23H9Q8
HANDBALL,6.040606899536069e-05,7ERCZ5SWGN23H9Q8
BASKETBALL,6.279302918842444e-09,7ERCZ5SWGN23H9Q8
HIKING,5.698249110312082e-09,7ERCZ5SWGN23H9Q8
SWIM,1.3430390534149637e-09,7ERCZ5SWGN23H9Q8
RUNNING,0.9999999687644883,7I7BPSV4PGPZMR7O
OLYMPIC SPORTS,0.00017663153211532035,7I7BPSV4PGPZMR7O
